Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
45	15	0	0.6038505	-6.95878377e-07	-1.170816e-07	-1.63736736e-06	5.25361459e-07	2.16272882e-06	0	0	0	0	0	3
46	15	0	0.6172694	-7.95027268e-07	-1.48078909e-07	-1.63736736e-06	5.25361459e-07	2.16272882e-06	0	0	0	0	0	3
47	16	0	0.6306883	-5.65850951e-07	-1.56653497e-07	-1.63736736e-06	5.25361459e-07	2.02977915e-06	0	0	0	0	0	3
48	16	0	0.6441072	-9.32985372e-08	-1.64630888e-07	-1.63736736e-06	5.25361459e-07	1.85926791e-06	0	0	0	0	0	3
49	16	0	0.6575261	3.77497573e-08	-1.61262493e-07	-1.63736736e-06	5.25361459e-07	1.72337373e-06	0	0	0	0	0	3
50	16	0	0.670945	9.98160798e-08	-1.60317512e-07	-1.63736736e-06	5.25361459e-07	1.60885573e-06	0	0	0	0	0	3
51	17	0	0.6843639	2.03418318e-07	-1.56806737e-07	-1.63736736e-06	5.25361459e-07	1.51153755e-06	0	0	0	0	0	3
52	17	0	0.6977828	1.05222597e-07	-1.5618957e-07	-1.63736736e-06	5.25361459e-07	1.42476205e-06	0	0	0	0	0	3
53	17	0	0.7112017	3.69628669e-08	-1.56408292e-07	-1.63736736e-06	5.25361459e-07	1.3479519e-06	0	0	0	0	0	3
54	17	0	0.7246206	-2.40186444e-07	-1.63549215e-07	-1.63736736e-06	5.25361459e-07	1.2771475e-06	0	0	0	0	0	3
55	18	0	0.7380395	-4.48260165e-07	-1.7480991e-07	-1.63736736e-06	5.25361459e-07	1.2260008e-06	0	0	0	0	0	3
56	18	0	0.7514584	-2.73550303e-07	-1.82236331e-07	-1.63736736e-06	5.25361459e-07	1.17715252e-06	0	0	0	0	0	3
57	18	0	0.7648773	-2.68263007e-07	-1.88821449e-07	-1.63736736e-06	5.25361459e-07	1.13280227e-06	0	0	0	0	0	3
58	18	0	0.7782962	-2.32668806e-07	-1.94318229e-07	-1.63736736e-06	5.25361459e-07	1.0919471e-06	0	0	0	0	0	3
59	19	0	0.7917151	-3.69877614e-07	-2.03277901e-07	-1.63736736e-06	5.25361459e-07	1.05833183e-06	0	0	0	0	0	3
60	19	0	0.805134	-9.79344498e-08	-2.04828281e-07	-1.63736736e-06	5.25361459e-07	1.02212978e-06	0	0	0	0	0	3
61	19	0	0.8185529	1.13246524e-07	-2.01499374e-07	-1.63736736e-06	5.25361459e-07	9.86345431e-07	0	0	0	0	0	3
62	19	0	0.8319718	2.02328782e-07	-1.95082227e-07	-1.63736736e-06	5.25361459e-07	9.53329635e-07	0	0	0	0	0	3
63	20	0	0.8453907	1.5588534e-07	-1.89825304e-07	-1.63736736e-06	5.25361459e-07	9.23424096e-07	0	0	0	0	0	3
64	20	0	0.8588096	1.86289689e-07	-1.84158664e-07	-1.63736736e-06	5.25361459e-07	8.9301289e-07	0	0	0	0	0	3
65	20	0	0.8722285	7.17997553e-08	-1.7957165e-07	-1.63736736e-06	5.25361459e-07	8.67247397e-07	0	0	0	0	0	3
66	20	0	0.8856474	5.289465e-08	-1.77304707e-07	-1.63736736e-06	5.25361459e-07	8.42799912e-07	0	0	0	0	0	3
67	21	0	0.8990663	1.28800054e-08	-1.7574055e-07	-1.63736736e-06	5.25361459e-07	8.20490758e-07	0	0	0	0	0	3
68	21	0	0.9124852	-3.65256291e-08	-1.75877988e-07	-1.63736736e-06	5.25361459e-07	8.00001526e-07	0	0	0	0	0	3
69	21	0	0.9259041	-1.4671878e-07	-1.79225753e-07	-1.63736736e-06	5.25361459e-07	7.80199364e-07	0	0	0	0	0	3
70	21	0	0.939323	-2.47727348e-07	-1.84731842e-07	-1.63736736e-06	5.25361459e-07	7.62841066e-07	0	0	0	0	0	3
71	22	0	0.9527419	-5.89092659e-07	-2.00301314e-07	-1.63736736e-06	5.25361459e-07	7.4707799e-07	0	0	0	0	0	3
72	22	0	0.9661608	-6.86681677e-07	-2.18952627e-07	-1.63736736e-06	5.25361459e-07	7.47240434e-07	0	0	0	0	0	3
73	22	0	0.9795797	-6.31177487e-07	-2.36972643e-07	-1.63736736e-06	5.25361459e-07	7.55511444e-07	0	0	0	0	0	3
74	22	0	0.9929986	-2.59616854e-07	-2.48291532e-07	-1.63736736e-06	5.25361459e-07	7.66830332e-07	0	0	0	0	0	3
75	23	0	1.0064175	-1.92057914e-07	-2.67170989e-07	-1.63736736e-06	2.70570809e-07	7.79184316e-07	0.0299998945	0	100	0	0	3
76	23	0	1.0198364	-6.36709067e-08	-2.75966823e-07	-1.63736736e-06	2.03418318e-07	3.01612787e-07	0.0299998945	0	100	0	0	3
77	23	0	1.0332553	-3.7760299e-08	-2.793632e-07	-1.63736736e-06	2.03418318e-07	3.00348715e-07	0.0299998945	0	100	0	0	3
78	23	0	1.0466742	1.0115921e-07	-2.7295677e-07	-1.63736736e-06	2.03418318e-07	2.86691756e-07	0.0299998945	0	100	0	0	3
79	24	0	1.0600931	2.28550204e-07	-2.51548703e-07	-1.63736736e-06	2.28550204e-07	2.42274385e-07	0.0299998945	0	100	0	0	3
80	24	0	1.073512	3.35553517e-07	-1.99629732e-07	-1.50832259e-06	3.35553517e-07	2.04698497e-07	0.0299998945	0	100	0	0	3
81	24	0	1.0869309	7.54136603e-07	-1.40091332e-07	-1.04953905e-06	7.54136603e-07	1.73500989e-07	0.0299998945	0	100	0	0	3
82	25	0	1.1003498	6.86955997e-07	-9.43940942e-08	-7.95027268e-07	7.54136603e-07	1.84969106e-07	0.0299998945	0	100	0	0	3
83	25	0	1.1137687	2.69185309e-07	-6.89976814e-08	-7.95027268e-07	7.54136603e-07	2.10365518e-07	0.0299998945	0	100	0	0	3
84	25	0	1.1271876	1.57451202e-07	-4.39324585e-08	-6.86681677e-07	7.54136603e-07	2.35430741e-07	0.0299998945	0	100	0	0	3
85	25	0	1.1406065	4.97533591e-08	-2.77323451e-08	-6.86681677e-07	7.54136603e-07	2.51630855e-07	0.0299998945	0	100	0	0	3
86	26	0	1.1540254	-5.32015937e-08	-2.66771623e-08	-6.86681677e-07	7.54136603e-07	2.52686038e-07	0.0299998945	0	100	0	0	3
87	26	0	1.1674443	-1.50639908e-07	-3.16347851e-08	-6.86681677e-07	7.54136603e-07	2.52686038e-07	0.0299998945	0	100	0	0	3
88	26	0	1.1808632	-4.62211403e-07	-4.6424982e-08	-6.86681677e-07	7.54136603e-07	2.52686038e-07	0.0299998945	0	100	0	0	3
89	27	0	1.1942821	-5.07488628e-07	-6.51330596e-08	-6.86681677e-07	7.54136603e-07	2.52686038e-07	0.0299998945	0	100	0	0	3
90	27	0	1.207701	-4.54921936e-07	-7.98737052e-08	-6.86681677e-07	7.54136603e-07	2.52686038e-07	0.0299998945	0	100	0	0	3
