Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
91	27	0	1.2211199	0	0	0	0	0	5e-06	0	100	0	0	3
92	27	0	1.2345388	0	0	0	0	0	5e-06	0	100	0	0	3
93	28	0	1.2479577	0	0	0	0	0	5e-06	0	100	0	0	3
94	28	0	1.2613766	0	0	0	0	0	5e-06	0	100	0	0	3
95	28	0	1.2747955	0	0	0	0	0	5e-06	0	100	0	0	3
96	28	0	1.2882144	0	0	0	0	0	5e-06	0	100	0	0	3
97	29	0	1.3016333	0	0	0	0	0	5e-06	0	100	0	0	3
98	29	0	1.3150522	0	0	0	0	0	5e-06	0	100	0	0	3
99	29	0	1.3284711	0	0	0	0	0	5e-06	0	100	0	0	3
100	29	0	1.34189	0	0	0	0	0	5e-06	0	100	0	0	3
101	30	0	1.3553089	0	0	0	0	0	5e-06	0	100	0	0	3
