Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
63	20	0	0.8453907	107669.344	107935.246	107642.501	108800.278	1157.77751	0	0	0	0	0	3
64	20	0	0.8588096	107659.809	107905.233	107642.501	108656.158	1013.65692	0	0	0	0	0	3
65	20	0	0.8722285	107652.321	107878.816	107642.501	108521.035	878.533697	0	0	0	0	0	3
66	20	0	0.8856474	107647.204	107855.821	107642.501	108431.098	788.596665	0	0	0	0	0	3
67	21	0	0.8990663	107631.542	107834.78	107631.542	108347.809	716.266574	0	0	0	0	0	3
68	21	0	0.9124852	107614.872	107815.492	107614.872	108299.876	685.003976	0	0	0	0	0	3
69	21	0	0.9259041	107599.512	107798.752	107599.512	108299.876	700.363633	0	0	0	0	0	3
70	21	0	0.939323	107598.475	107782.787	107598.475	108299.876	701.401042	0	0	0	0	0	3
71	22	0	0.9527419	107595.753	107766.241	107595.753	108299.876	704.122969	0	0	0	0	0	3
72	22	0	0.9661608	107593.011	107748.537	107593.011	108299.876	706.864199	0	0	0	0	0	3
73	22	0	0.9795797	107597.511	107730.054	107593.011	108255.599	662.587598	0	0	0	0	0	3
74	22	0	0.9929986	107605.297	107712.941	107593.011	108204.341	611.329245	0	0	0	0	0	3
75	23	0	1.0064175	107611.242	107697.333	107593.011	108126.634	533.62291	166.947345	0	31.2	0	0	3
76	23	0	1.0198364	107620.708	107684.019	107593.011	108010.312	417.300705	166.947345	0	40	0	0	3
77	23	0	1.0332553	107630.557	107674.026	107593.011	107903.955	310.94347	166.947345	0	53.6	0	0	3
78	23	0	1.0466742	107637.657	107667.018	107593.011	107794.754	201.742119	166.947345	0	82.7	0	0	3
79	24	0	1.0600931	107642.44	107663.01	107593.011	107760.601	167.589991	166.947345	0	99.6	0	0	3
80	24	0	1.073512	107648.377	107660.272	107593.011	107760.601	167.589991	166.947345	0	99.6	0	0	3
81	24	0	1.0869309	107645.604	107657.552	107593.011	107760.601	167.589991	166.947345	0	99.6	0	0	3
82	25	0	1.1003498	107634.782	107654.399	107593.011	107760.601	167.589991	166.947345	0	99.6	0	0	3
83	25	0	1.1137687	107628.409	107650.921	107593.011	107759.708	166.696436	166.947345	0	100	0	0	3
84	25	0	1.1271876	107616.618	107647.155	107593.011	107747.269	154.257391	166.947345	0	100	0	0	3
85	25	0	1.1406065	107597.849	107643.223	107593.011	107729.649	136.638033	166.947345	0	100	0	0	3
86	26	0	1.1540254	107587.179	107639.474	107587.179	107710.037	122.858489	166.947345	0	100	0	0	3
87	26	0	1.1674443	107579.25	107636.032	107579.25	107698.647	119.397145	166.947345	0	100	0	0	3
88	26	0	1.1808632	107572.075	107632.701	107572.075	107683.017	110.941433	166.947345	0	100	0	0	3
89	27	0	1.1942821	107570.92	107629.751	107570.92	107675.931	105.010626	166.947345	0	100	0	0	3
90	27	0	1.207701	107574.024	107627.07	107570.92	107670.19	99.2695323	166.947345	0	100	0	0	3
91	27	0	1.2211199	107574.057	107624.694	107570.92	107670.19	99.2695323	166.947345	0	100	0	0	3
92	27	0	1.2345388	107581.841	107622.822	107570.92	107670.19	99.2695323	166.947345	0	100	0	0	3
93	28	0	1.2479577	107584.041	107621.24	107570.92	107670.19	99.2695323	166.947345	0	100	0	0	3
94	28	0	1.2613766	107590.315	107619.867	107570.92	107670.19	99.2695323	166.947345	0	100	0	0	3
95	28	0	1.2747955	107597.441	107618.476	107570.92	107670.19	99.2695323	166.947345	0	100	0	0	3
96	28	0	1.2882144	107605.431	107617.2	107570.92	107670.19	99.2695323	166.947345	0	100	0	0	3
97	29	0	1.3016333	107614.76	107616.031	107570.92	107670.19	99.2695323	166.947345	0	100	0	0	3
98	29	0	1.3150522	107617.856	107614.859	107570.92	107670.19	99.2695323	166.947345	0	100	0	0	3
99	29	0	1.3284711	107610.174	107613.38	107570.92	107670.19	99.2695323	166.947345	0	100	0	0	3
100	29	0	1.34189	107604.659	107611.656	107570.92	107669.344	98.4239161	166.947345	0	100	0	0	3
101	30	0	1.3553089	107599.106	107609.807	107570.92	107659.809	88.8887463	166.947345	0	100	0	0	3
