Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
63	20	0	0.8453907	324.053173	315.910006	301.57214	324.259493	19.7532356	0	0	0	0	0	3
64	20	0	0.8588096	323.932476	316.498436	302.275543	324.259493	20.1150443	0	0	0	0	0	3
65	20	0	0.8722285	323.811186	317.065163	302.93944	324.259493	20.4476271	0	0	0	0	0	3
66	20	0	0.8856474	323.703321	317.611581	303.568717	324.259493	20.6907764	0	0	0	0	0	3
67	21	0	0.8990663	323.617251	318.139174	304.168131	324.259493	20.091362	0	0	0	0	0	3
68	21	0	0.9124852	323.556888	318.649405	305.015977	324.259493	19.2435164	0	0	0	0	0	3
69	21	0	0.9259041	323.524037	319.136459	305.826303	324.259493	18.4331907	0	0	0	0	0	3
70	21	0	0.939323	323.517299	319.602012	306.609358	324.259493	17.6501358	0	0	0	0	0	3
71	22	0	0.9527419	323.533785	320.047391	307.376826	324.259493	16.8826674	0	0	0	0	0	3
72	22	0	0.9661608	323.566493	320.473435	308.135744	324.259493	16.1237495	0	0	0	0	0	3
73	22	0	0.9795797	323.608482	320.880612	309.262095	324.259493	14.9973988	0	0	0	0	0	3
74	22	0	0.9929986	323.651911	321.259292	310.383793	324.259493	13.8757002	0	0	0	0	0	3
75	23	0	1.0064175	323.690627	321.609472	311.497037	324.259493	12.7624567	0.924845839	0	7.2	0	0	3
76	23	0	1.0198364	323.715824	321.931019	312.591763	324.259493	11.6677303	0.924845839	0	7.9	0	0	3
77	23	0	1.0332553	323.720688	322.223885	313.653005	324.259493	10.6064886	0.924845839	0	8.7	0	0	3
78	23	0	1.0466742	323.699487	322.488266	315.088331	324.259493	9.17116187	0.924845839	0	10	0	0	3
79	24	0	1.0600931	323.652035	322.713627	316.380344	324.259493	7.8791494	0.924845839	0	11.7	0	0	3
80	24	0	1.073512	323.579323	322.903074	317.510723	324.259493	6.74877045	0.924845839	0	13.7	0	0	3
81	24	0	1.0869309	323.488308	323.060378	318.475839	324.259493	5.78365387	0.924845839	0	15.9	0	0	3
82	25	0	1.1003498	323.388294	323.189654	319.28317	324.259493	4.9763233	0.924845839	0	18.5	0	0	3
83	25	0	1.1137687	323.290095	323.295099	319.963498	324.259493	4.29599535	0.924845839	0	21.5	0	0	3
84	25	0	1.1271876	323.207153	323.380458	320.54515	324.259493	3.71434377	0.924845839	0	24.8	0	0	3
85	25	0	1.1406065	323.145977	323.448901	321.056458	324.259493	3.20303548	0.924845839	0	28.8	0	0	3
86	26	0	1.1540254	323.11073	323.502961	321.514983	324.259493	2.74451044	0.924845839	0	33.6	0	0	3
87	26	0	1.1674443	323.105979	323.544829	321.936385	324.259493	2.32310867	0.924845839	0	39.8	0	0	3
88	26	0	1.1808632	323.13287	323.576316	322.327316	324.259493	1.93217697	0.924845839	0	47.8	0	0	3
89	27	0	1.1942821	323.186923	323.598937	322.691765	324.259493	1.56772864	0.924845839	0	58.9	0	0	3
90	27	0	1.207701	323.26129	323.613924	323.028909	324.259493	1.23058428	0.924845839	0	75.1	0	0	3
91	27	0	1.2211199	323.347765	323.622315	323.105979	324.259493	1.15351464	0.924845839	0	80.1	0	0	3
92	27	0	1.2345388	323.437127	323.624998	323.105979	324.259493	1.15351464	0.924845839	0	80.1	0	0	3
93	28	0	1.2479577	323.518687	323.622671	323.105979	324.259493	1.15351464	0.924845839	0	80.1	0	0	3
94	28	0	1.2613766	323.583581	323.615946	323.105979	324.259493	1.15351464	0.924845839	0	80.1	0	0	3
95	28	0	1.2747955	323.62309	323.605367	323.105979	324.259493	1.15351464	0.924845839	0	80.1	0	0	3
96	28	0	1.2882144	323.636618	323.591614	323.105979	324.259493	1.15351464	0.924845839	0	80.1	0	0	3
97	29	0	1.3016333	323.626891	323.575541	323.105979	324.259493	1.15351464	0.924845839	0	80.1	0	0	3
98	29	0	1.3150522	323.597611	323.558123	323.105979	324.229271	1.12329262	0.924845839	0	82.3	0	0	3
99	29	0	1.3284711	323.554765	323.540373	323.105979	324.156131	1.05015204	0.924845839	0	88	0	0	3
100	29	0	1.34189	323.505294	323.523246	323.105979	324.053173	0.947194284	0.924845839	0	97.6	0	0	3
101	30	0	1.3553089	323.457858	323.50758	323.105979	323.932476	0.826497585	0.924845839	0	100	0	0	3
